"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KFUGCT5W","book","2010","Aygün, Abdullah","Kur'an ve Sünnet'e Göre Ümmet-i Muhammed'in Özellikleri","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Rağbet Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MSP6GAU","book","2010","Kasapoğlu, Abdurrahman","Ayet ve Hadislerde Engelliler","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Huzur Ciltevi","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74RW7BJR","book","2010","Palabıyık, Abdülkadir","Düşünce Dünyamızı Aydınlatan Hadisler Kutadgu Bilig ve Atabetül Hakayık Örneği","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Tibyan Yayıncılık","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IVDFYFFR","book","2010","Pekcan, Ali","Güllerin Efendisiyle buluşmak, -Yılın Her Bir Günü İçin Bir Hadis-i Şerif-","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Serhat Yayıncılık","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTRTIM9B","book","2010","Gezer, Arif","Kurtubi'nin Hadis İlmindeki Yeri","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Gonca Yayınevi","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PJHIV4SJ","book","2010","Gezer, Arif","Sünnet'e Göre İslam Ailesinin Kuruluşunda Mehir Tarihteki ve Günümüzdeki Uygulamalar","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Gonca Yayınevi","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TG8DVWNT","book","2010","Aydın, Cemal Abdullah","Hadislerin Kaynaklarını Bulma Yolları","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Kitabi Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLXR8A59","book","2010","Bağcı, Hacı Musa","Hadis Yazıları Peygamber Tasavvuru Tarih Usul ve Kültür","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Araştırma Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AWBNU39D","book","2010","Kahraman, Hüseyin","Hadislere Göre Kanama ve Abdest Kanamanın Abdesti Bozup Bozmaması Meselesi","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Emin Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8SJTZVLN","book","2010","Yeşil, Mahmut","Açıklamalı Kırk Hadis","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Konya İmam Hatip Liseleri Okul Aile Birlikleri Platformu","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
